name,riskScore,status,reviewer,date,age,occupation,coverageType,coverageAmount,income,policyTerm,premiumAmount,policyType,claimHistory,maritalStatus,dependents,healthHistory,policyStartDate
Tony Stark,727,Needs Info,Reviewer_3,2024-11-13,21,Engineer,Health,$589922,$53985,27 years,$40889,Term Life,No,Single,5,Yes,2024-01-28
Natasha Romanoff,646,Needs Info,Reviewer_3,2023-09-18,36,CEO,Health,$454523,$97956,24 years,$32525,Term Life,No,Married,2,Yes,2024-02-04
Steve Rogers,614,Declined,Reviewer_4,2023-07-08,28,CEO,Critical Illness,$765064,$67164,22 years,$38324,Whole Life,No,Married,1,No,2024-11-29
Bruce Banner,688,Approved,Reviewer_3,2024-10-29,22,Teacher,Term Life,$781235,$120463,25 years,$39869,Term Life,No,Married,2,Yes,2024-06-27
Clint Barton,701,Needs Info,Reviewer_1,2023-11-08,23,Engineer,Critical Illness,$367040,$91815,25 years,$20578,Whole Life,No,Single,4,No,2024-03-08
Natasha Romanoff,736,Needs Info,Reviewer_2,2023-07-25,31,Teacher,Critical Illness,$195743,$86915,22 years,$16396,Term Life,No,Married,3,Yes,2024-01-10
Bruce Banner,684,Declined,Reviewer_3,2024-03-13,47,Doctor,Term Life,$180072,$114259,14 years,$1561,Whole Life,Yes,Married,4,Yes,2024-10-06
Clint Barton,773,Approved,Reviewer_3,2024-06-30,21,Teacher,Life,$679475,$91423,15 years,$37188,Term Life,No,Married,2,No,2024-05-07
Natasha Romanoff,672,Pending,Reviewer_1,2023-07-29,55,Doctor,Life,$303185,$117317,13 years,$31932,Term Life,No,Single,1,No,2024-07-14
Clint Barton,722,Approved,Reviewer_2,2023-01-09,31,Doctor,Health,$958566,$75320,11 years,$7938,Term Life,Yes,Single,5,Yes,2024-06-09
Clint Barton,608,Approved,Reviewer_1,2023-11-06,63,CEO,Term Life,$857376,$144592,20 years,$19178,Term Life,Yes,Married,3,Yes,2024-12-25
Tony Stark,760,Approved,Reviewer_5,2023-08-13,23,Scientist,Health,$718845,$65859,25 years,$7232,Term Life,Yes,Married,0,Yes,2024-12-13
Tony Stark,655,Pending,Reviewer_2,2023-03-23,29,Teacher,Critical Illness,$269548,$47359,18 years,$13058,Whole Life,No,Single,5,No,2024-11-28
Clint Barton,699,Approved,Reviewer_2,2023-06-29,57,Engineer,Health,$528834,$133235,26 years,$3798,Term Life,Yes,Single,3,Yes,2024-06-29
Bruce Banner,631,Declined,Reviewer_5,2023-03-02,30,CEO,Term Life,$279849,$66555,21 years,$44626,Whole Life,Yes,Single,5,Yes,2024-11-30
Steve Rogers,686,Needs Info,Reviewer_2,2023-12-01,44,Engineer,Life,$289972,$140154,25 years,$39764,Whole Life,Yes,Married,2,Yes,2024-09-28
Tony Stark,746,Pending,Reviewer_2,2023-12-04,56,Scientist,Health,$532955,$75144,30 years,$10710,Whole Life,No,Single,5,Yes,2024-09-28
Tony Stark,602,Pending,Reviewer_1,2024-04-17,62,Engineer,Health,$259742,$45177,17 years,$28533,Whole Life,No,Single,4,No,2024-10-14
Steve Rogers,794,Declined,Reviewer_4,2023-10-20,63,Engineer,Health,$490374,$138867,27 years,$39957,Term Life,Yes,Single,1,No,2024-12-07
Steve Rogers,696,Approved,Reviewer_5,2023-06-12,46,CEO,Life,$167886,$44951,27 years,$19820,Term Life,No,Married,5,No,2024-02-05
Bruce Banner,725,Pending,Reviewer_3,2023-07-05,45,Scientist,Term Life,$167993,$139197,18 years,$23412,Term Life,No,Married,3,Yes,2024-04-29
Tony Stark,739,Pending,Reviewer_3,2023-12-10,30,CEO,Critical Illness,$692650,$77781,19 years,$1469,Whole Life,Yes,Single,2,No,2024-03-28
Steve Rogers,629,Pending,Reviewer_1,2023-07-17,32,Doctor,Health,$504572,$143362,20 years,$12250,Whole Life,Yes,Single,0,No,2024-06-22
Tony Stark,612,Pending,Reviewer_3,2023-02-02,23,Scientist,Health,$869779,$78374,17 years,$14546,Term Life,Yes,Married,1,Yes,2024-02-18
Tony Stark,742,Needs Info,Reviewer_2,2024-12-26,59,Teacher,Life,$574318,$105265,22 years,$2985,Whole Life,No,Married,5,No,2024-06-27
Natasha Romanoff,632,Approved,Reviewer_5,2023-12-15,46,Doctor,Health,$894810,$47992,16 years,$30558,Whole Life,Yes,Married,5,Yes,2024-01-07
Bruce Banner,798,Declined,Reviewer_1,2023-11-26,56,Doctor,Health,$699312,$81017,21 years,$14922,Whole Life,No,Married,1,Yes,2024-05-22
Natasha Romanoff,774,Declined,Reviewer_4,2024-02-18,59,Engineer,Health,$552079,$136761,28 years,$47856,Whole Life,No,Single,0,Yes,2024-11-17
Tony Stark,716,Declined,Reviewer_1,2024-07-29,41,CEO,Health,$625126,$76708,28 years,$17229,Whole Life,No,Married,3,No,2024-06-04
Clint Barton,624,Pending,Reviewer_4,2023-01-08,38,Scientist,Health,$497043,$61719,17 years,$27733,Whole Life,No,Single,4,Yes,2024-08-04
Steve Rogers,659,Pending,Reviewer_5,2024-02-18,42,Engineer,Life,$785812,$146874,10 years,$8936,Term Life,Yes,Single,5,Yes,2024-07-26
Steve Rogers,705,Approved,Reviewer_5,2023-10-22,32,CEO,Critical Illness,$737667,$48410,25 years,$10968,Term Life,No,Single,0,Yes,2024-07-25
Natasha Romanoff,718,Pending,Reviewer_5,2024-08-21,39,Doctor,Life,$784902,$76048,22 years,$43154,Whole Life,No,Married,2,Yes,2024-11-27
Clint Barton,711,Approved,Reviewer_1,2023-06-04,36,CEO,Term Life,$669191,$99771,14 years,$13749,Term Life,No,Single,0,No,2024-07-05
Bruce Banner,761,Approved,Reviewer_5,2023-06-03,28,Engineer,Life,$696103,$136882,22 years,$8334,Whole Life,No,Single,1,Yes,2024-03-23
Tony Stark,667,Declined,Reviewer_4,2023-11-03,34,CEO,Health,$905643,$32777,28 years,$40268,Whole Life,Yes,Married,4,Yes,2024-08-13
Clint Barton,769,Declined,Reviewer_1,2024-07-03,65,Teacher,Term Life,$584639,$50624,13 years,$8635,Term Life,Yes,Single,3,Yes,2024-06-30
Clint Barton,745,Declined,Reviewer_2,2024-11-16,36,Engineer,Term Life,$581283,$32861,19 years,$26595,Whole Life,No,Single,3,No,2024-12-10
Natasha Romanoff,759,Needs Info,Reviewer_1,2023-07-16,31,Scientist,Health,$620006,$148126,16 years,$48692,Term Life,Yes,Married,5,No,2024-03-25
Tony Stark,684,Approved,Reviewer_3,2023-11-24,44,Scientist,Health,$727290,$53383,11 years,$10498,Term Life,Yes,Married,0,No,2024-08-28
Bruce Banner,761,Approved,Reviewer_2,2023-09-21,46,Engineer,Health,$640718,$78154,28 years,$13483,Term Life,Yes,Married,3,No,2024-08-31
Steve Rogers,775,Declined,Reviewer_5,2023-02-07,61,CEO,Critical Illness,$535295,$145648,10 years,$25975,Term Life,Yes,Single,0,No,2024-02-16
Tony Stark,610,Declined,Reviewer_3,2024-03-02,59,CEO,Term Life,$562055,$99112,30 years,$47774,Whole Life,No,Married,0,Yes,2024-08-31
Bruce Banner,613,Declined,Reviewer_5,2023-04-19,33,Scientist,Health,$314237,$31431,10 years,$1599,Term Life,No,Married,4,No,2024-04-17
Natasha Romanoff,681,Needs Info,Reviewer_1,2023-03-28,52,CEO,Critical Illness,$398846,$31253,24 years,$48575,Term Life,No,Married,2,No,2024-05-04
Bruce Banner,746,Approved,Reviewer_2,2024-04-29,34,Doctor,Life,$387511,$125309,17 years,$24312,Term Life,Yes,Single,5,Yes,2024-09-27
Bruce Banner,725,Declined,Reviewer_2,2024-08-25,22,Doctor,Life,$388791,$55784,23 years,$42885,Term Life,Yes,Single,5,No,2024-12-04
Clint Barton,687,Approved,Reviewer_5,2023-09-04,64,Teacher,Life,$216842,$72891,16 years,$36953,Term Life,No,Married,4,No,2024-06-23
Tony Stark,792,Approved,Reviewer_4,2024-10-21,59,Teacher,Critical Illness,$677079,$85875,10 years,$28435,Whole Life,No,Single,0,Yes,2024-07-03
Steve Rogers,768,Declined,Reviewer_2,2024-11-27,44,CEO,Health,$535737,$48060,15 years,$15755,Whole Life,No,Single,3,No,2024-02-21
Clint Barton,712,Declined,Reviewer_4,2024-09-11,57,Scientist,Critical Illness,$617201,$86963,20 years,$30127,Whole Life,No,Single,1,Yes,2024-01-10
Steve Rogers,789,Needs Info,Reviewer_2,2023-12-05,40,Teacher,Life,$237827,$83684,10 years,$27265,Term Life,Yes,Married,1,No,2024-01-10
Clint Barton,627,Declined,Reviewer_2,2024-12-09,60,Scientist,Health,$554207,$53012,15 years,$47912,Whole Life,No,Married,5,No,2024-01-07
Steve Rogers,692,Declined,Reviewer_3,2024-08-04,24,Doctor,Term Life,$541376,$83076,24 years,$22069,Whole Life,No,Single,1,Yes,2024-08-06
Steve Rogers,660,Needs Info,Reviewer_4,2023-08-10,21,CEO,Term Life,$812162,$73215,19 years,$1948,Term Life,Yes,Single,0,Yes,2024-04-29
Clint Barton,723,Approved,Reviewer_2,2024-01-18,25,Engineer,Life,$357381,$87388,21 years,$39514,Whole Life,Yes,Single,0,Yes,2024-12-23
Natasha Romanoff,719,Declined,Reviewer_1,2024-06-07,31,Teacher,Health,$950196,$91225,26 years,$36487,Term Life,No,Single,4,Yes,2024-06-24
Steve Rogers,737,Needs Info,Reviewer_4,2024-10-26,24,CEO,Critical Illness,$575296,$38150,17 years,$25287,Whole Life,Yes,Married,5,Yes,2024-12-03
Clint Barton,632,Needs Info,Reviewer_2,2023-04-22,52,Teacher,Critical Illness,$230444,$55315,19 years,$19662,Whole Life,Yes,Single,1,No,2024-05-25
Clint Barton,753,Needs Info,Reviewer_1,2023-07-20,60,Engineer,Life,$181922,$77536,17 years,$45906,Term Life,No,Single,0,Yes,2024-09-05
Bruce Banner,693,Approved,Reviewer_4,2024-05-04,20,Doctor,Life,$822965,$61569,19 years,$13537,Term Life,Yes,Married,4,No,2024-09-10
Natasha Romanoff,704,Approved,Reviewer_1,2024-07-06,32,Teacher,Health,$234496,$34325,21 years,$49286,Term Life,Yes,Married,2,No,2024-02-15
Natasha Romanoff,786,Approved,Reviewer_1,2024-02-21,33,CEO,Term Life,$668802,$90531,26 years,$44673,Whole Life,Yes,Single,5,Yes,2024-05-07
Clint Barton,614,Declined,Reviewer_2,2024-02-26,34,Engineer,Health,$854416,$31356,28 years,$22625,Term Life,No,Married,3,Yes,2024-09-21
Steve Rogers,725,Needs Info,Reviewer_4,2024-02-12,42,Doctor,Term Life,$612988,$112417,18 years,$11792,Term Life,No,Single,3,Yes,2024-03-18
Steve Rogers,633,Approved,Reviewer_5,2023-10-30,35,Teacher,Life,$685612,$140732,30 years,$20008,Term Life,No,Single,3,Yes,2024-03-20
Bruce Banner,792,Needs Info,Reviewer_2,2023-09-05,30,CEO,Critical Illness,$442304,$80337,22 years,$49345,Term Life,Yes,Married,0,Yes,2024-03-17
Natasha Romanoff,777,Pending,Reviewer_2,2023-09-08,51,Engineer,Term Life,$451614,$59420,26 years,$37992,Whole Life,No,Single,3,No,2024-04-04
Natasha Romanoff,621,Pending,Reviewer_5,2023-07-22,42,Doctor,Life,$290969,$54731,23 years,$16124,Term Life,Yes,Single,4,No,2024-05-08
Tony Stark,796,Approved,Reviewer_5,2023-02-10,56,Scientist,Health,$747744,$114078,16 years,$41519,Term Life,No,Single,5,Yes,2024-10-20
Steve Rogers,734,Declined,Reviewer_1,2023-03-29,28,Doctor,Health,$613349,$93447,27 years,$19090,Whole Life,No,Single,5,Yes,2024-07-08
Steve Rogers,743,Approved,Reviewer_3,2024-10-11,31,Doctor,Term Life,$631357,$75835,20 years,$40190,Whole Life,No,Single,2,Yes,2024-04-28
Tony Stark,779,Needs Info,Reviewer_4,2024-06-09,33,Scientist,Term Life,$467956,$117150,10 years,$1901,Whole Life,No,Single,2,Yes,2024-04-24
Clint Barton,754,Pending,Reviewer_1,2023-06-26,43,CEO,Term Life,$608772,$50620,30 years,$16808,Term Life,Yes,Married,5,Yes,2024-09-25
Clint Barton,787,Pending,Reviewer_1,2023-05-08,60,Engineer,Life,$641403,$71462,25 years,$12024,Term Life,No,Married,2,Yes,2024-10-16
Clint Barton,759,Declined,Reviewer_4,2023-10-21,23,Doctor,Term Life,$542979,$143294,18 years,$38013,Whole Life,Yes,Married,0,Yes,2024-09-03
Clint Barton,774,Declined,Reviewer_3,2023-09-30,60,CEO,Critical Illness,$664516,$118597,26 years,$45289,Whole Life,Yes,Single,2,No,2024-09-16
Natasha Romanoff,710,Needs Info,Reviewer_4,2023-09-27,63,Engineer,Term Life,$819258,$76865,30 years,$20830,Whole Life,Yes,Married,3,Yes,2024-08-17
Tony Stark,680,Approved,Reviewer_1,2023-04-19,40,Scientist,Term Life,$152786,$59017,11 years,$5852,Term Life,No,Single,4,Yes,2024-02-06
Clint Barton,754,Declined,Reviewer_4,2023-10-10,25,Engineer,Life,$263709,$108716,17 years,$19975,Whole Life,Yes,Single,5,Yes,2024-10-18
Clint Barton,741,Needs Info,Reviewer_5,2024-11-05,36,Scientist,Critical Illness,$104754,$130857,27 years,$17310,Whole Life,No,Married,4,Yes,2024-03-23
Natasha Romanoff,791,Approved,Reviewer_2,2023-04-04,23,Teacher,Term Life,$637429,$135967,21 years,$11365,Whole Life,No,Married,4,No,2024-02-12
Clint Barton,769,Needs Info,Reviewer_1,2024-12-13,50,Doctor,Life,$758464,$31664,10 years,$35064,Whole Life,No,Married,3,Yes,2024-09-13
Steve Rogers,766,Needs Info,Reviewer_4,2024-04-10,53,Doctor,Life,$744156,$34023,10 years,$36362,Whole Life,No,Single,1,No,2024-01-15
Natasha Romanoff,706,Approved,Reviewer_4,2024-09-14,32,Engineer,Health,$413081,$58316,27 years,$29133,Whole Life,No,Married,2,No,2024-07-18
Steve Rogers,667,Pending,Reviewer_3,2024-09-27,31,Doctor,Life,$574818,$55959,23 years,$20696,Whole Life,No,Married,2,Yes,2024-07-08
Tony Stark,630,Needs Info,Reviewer_4,2024-05-06,53,Teacher,Health,$446582,$106977,12 years,$29278,Whole Life,No,Single,0,Yes,2024-08-11
Natasha Romanoff,740,Approved,Reviewer_1,2024-05-08,64,CEO,Critical Illness,$326834,$143596,21 years,$25562,Whole Life,Yes,Single,3,No,2024-11-08
Natasha Romanoff,731,Needs Info,Reviewer_5,2024-11-06,65,Teacher,Term Life,$921253,$38810,29 years,$28422,Whole Life,No,Married,3,Yes,2024-02-29
Bruce Banner,763,Approved,Reviewer_5,2024-02-02,38,Teacher,Health,$699462,$133531,19 years,$15070,Term Life,Yes,Married,3,Yes,2024-05-28
Steve Rogers,755,Needs Info,Reviewer_1,2023-04-25,44,Engineer,Critical Illness,$189098,$115032,19 years,$5669,Term Life,Yes,Single,5,Yes,2024-02-27
Bruce Banner,638,Declined,Reviewer_1,2023-04-13,21,Teacher,Health,$955970,$146147,24 years,$18929,Term Life,Yes,Married,4,No,2024-09-15
Tony Stark,775,Declined,Reviewer_5,2024-08-27,52,CEO,Life,$863227,$39082,12 years,$24448,Term Life,No,Single,4,Yes,2024-05-14
Steve Rogers,654,Needs Info,Reviewer_2,2024-03-01,39,Scientist,Term Life,$377005,$80315,18 years,$12141,Term Life,Yes,Married,4,Yes,2024-08-04
Tony Stark,790,Needs Info,Reviewer_1,2024-12-04,34,Teacher,Life,$863329,$141802,10 years,$38390,Whole Life,Yes,Single,4,No,2024-01-01
Natasha Romanoff,776,Declined,Reviewer_3,2023-12-10,46,Engineer,Term Life,$851899,$37241,10 years,$41855,Whole Life,No,Married,5,Yes,2024-05-23
Bruce Banner,744,Needs Info,Reviewer_5,2023-02-06,31,Teacher,Health,$929302,$64024,28 years,$25735,Whole Life,No,Single,5,Yes,2024-01-05
Clint Barton,655,Needs Info,Reviewer_5,2023-06-13,30,Scientist,Life,$205616,$102000,24 years,$24434,Term Life,No,Married,5,Yes,2024-10-16
Natasha Romanoff,772,Declined,Reviewer_5,2024-12-18,57,Scientist,Life,$908105,$91954,23 years,$39536,Term Life,No,Single,4,No,2024-11-03
Steve Rogers,667,Approved,Reviewer_2,2024-07-14,41,Scientist,Health,$852347,$41460,29 years,$15573,Term Life,No,Single,1,No,2024-05-14
Bruce Banner,647,Pending,Reviewer_2,2023-10-19,34,CEO,Health,$975132,$68725,18 years,$38345,Term Life,No,Married,4,Yes,2024-12-18
Natasha Romanoff,674,Declined,Reviewer_3,2023-11-21,65,Engineer,Health,$634092,$42912,18 years,$47522,Whole Life,No,Single,3,Yes,2024-02-22
Bruce Banner,626,Declined,Reviewer_3,2023-09-05,56,Scientist,Life,$720599,$94466,15 years,$12781,Term Life,Yes,Single,4,Yes,2024-07-15
Clint Barton,724,Approved,Reviewer_1,2024-10-17,47,Teacher,Life,$991736,$42192,30 years,$32469,Whole Life,Yes,Single,3,Yes,2024-06-05
Tony Stark,735,Pending,Reviewer_5,2024-05-28,53,Scientist,Critical Illness,$605505,$118809,13 years,$14356,Term Life,Yes,Single,1,No,2024-07-16
Natasha Romanoff,773,Pending,Reviewer_1,2023-09-23,44,Doctor,Term Life,$531786,$94991,23 years,$5192,Whole Life,Yes,Single,5,No,2024-07-05
Bruce Banner,761,Needs Info,Reviewer_3,2024-06-17,53,CEO,Critical Illness,$305050,$78768,13 years,$42599,Whole Life,Yes,Married,1,No,2024-04-05
Steve Rogers,748,Declined,Reviewer_2,2023-04-29,36,Teacher,Life,$752355,$127935,18 years,$10852,Term Life,Yes,Married,3,No,2024-04-22
Steve Rogers,619,Declined,Reviewer_2,2024-12-28,21,Teacher,Term Life,$603628,$122313,16 years,$42877,Whole Life,Yes,Married,2,Yes,2024-12-22
Tony Stark,785,Declined,Reviewer_5,2023-01-14,43,Teacher,Health,$545288,$138084,16 years,$48592,Term Life,No,Married,5,Yes,2024-05-02
Steve Rogers,718,Approved,Reviewer_5,2023-04-26,50,Doctor,Term Life,$188600,$148912,20 years,$49848,Whole Life,Yes,Married,5,Yes,2024-08-19
Clint Barton,792,Pending,Reviewer_1,2024-09-04,41,Engineer,Life,$998850,$50013,15 years,$18846,Whole Life,No,Single,4,Yes,2024-10-11
Clint Barton,764,Pending,Reviewer_5,2023-06-09,28,Engineer,Term Life,$586817,$48413,10 years,$44841,Whole Life,Yes,Single,4,No,2024-01-06
Clint Barton,602,Declined,Reviewer_2,2023-10-31,34,CEO,Health,$763987,$88471,24 years,$14899,Term Life,Yes,Single,3,No,2024-10-23
Clint Barton,722,Needs Info,Reviewer_5,2024-09-16,61,Engineer,Life,$767035,$142764,10 years,$2105,Term Life,No,Single,3,No,2024-06-27
Tony Stark,794,Approved,Reviewer_2,2024-01-28,28,Teacher,Term Life,$703082,$134451,18 years,$31562,Term Life,Yes,Single,0,No,2024-06-23
Natasha Romanoff,799,Pending,Reviewer_4,2024-08-05,45,Teacher,Life,$961658,$141112,11 years,$27383,Whole Life,Yes,Married,4,No,2024-12-18
Steve Rogers,631,Needs Info,Reviewer_5,2024-09-07,38,CEO,Critical Illness,$844235,$71471,12 years,$36169,Whole Life,Yes,Married,1,No,2024-10-25
Natasha Romanoff,652,Needs Info,Reviewer_3,2023-01-19,48,Engineer,Health,$600210,$51604,22 years,$41486,Whole Life,Yes,Single,4,Yes,2024-06-17
Steve Rogers,717,Needs Info,Reviewer_5,2024-04-17,55,Doctor,Health,$808912,$61789,30 years,$49464,Term Life,Yes,Married,3,No,2024-03-31
Tony Stark,617,Declined,Reviewer_2,2024-07-10,30,Teacher,Critical Illness,$707415,$52486,14 years,$43929,Whole Life,No,Married,3,No,2024-07-28
Natasha Romanoff,748,Pending,Reviewer_4,2023-09-20,25,Engineer,Term Life,$531226,$121088,14 years,$41904,Whole Life,No,Single,4,No,2024-08-16
Steve Rogers,671,Needs Info,Reviewer_5,2023-05-13,44,Engineer,Health,$978052,$141771,24 years,$23908,Whole Life,Yes,Single,3,Yes,2024-01-03
Clint Barton,619,Approved,Reviewer_4,2023-06-19,26,CEO,Life,$332770,$69958,18 years,$15051,Term Life,No,Single,3,Yes,2024-02-25
Natasha Romanoff,740,Approved,Reviewer_5,2023-08-28,50,Teacher,Life,$424757,$107765,17 years,$6373,Whole Life,Yes,Single,1,Yes,2024-12-17
Natasha Romanoff,747,Approved,Reviewer_4,2023-05-18,65,CEO,Life,$953277,$56414,26 years,$38161,Term Life,Yes,Single,2,No,2024-03-30
Bruce Banner,661,Declined,Reviewer_1,2024-11-11,49,CEO,Life,$301007,$50563,11 years,$38492,Term Life,No,Single,5,No,2024-07-13
Clint Barton,673,Needs Info,Reviewer_3,2023-07-23,48,Scientist,Critical Illness,$395648,$95333,28 years,$46439,Term Life,No,Single,4,Yes,2024-01-31
Clint Barton,639,Needs Info,Reviewer_1,2023-10-02,45,Doctor,Term Life,$523993,$130712,27 years,$45248,Whole Life,No,Married,0,Yes,2024-03-12
Steve Rogers,774,Declined,Reviewer_1,2024-07-21,42,Teacher,Term Life,$473910,$130367,16 years,$36955,Term Life,No,Married,3,No,2024-07-06
Clint Barton,746,Needs Info,Reviewer_5,2023-10-24,46,CEO,Health,$140036,$68659,15 years,$48195,Whole Life,Yes,Married,4,No,2024-12-14
Tony Stark,672,Approved,Reviewer_4,2024-11-11,52,Engineer,Life,$224302,$102432,16 years,$44509,Whole Life,Yes,Single,0,Yes,2024-12-16
Tony Stark,753,Needs Info,Reviewer_4,2023-10-16,49,Doctor,Critical Illness,$385025,$90741,12 years,$44626,Term Life,No,Single,4,No,2024-10-25
Clint Barton,753,Pending,Reviewer_1,2023-09-30,53,Teacher,Critical Illness,$577109,$77738,11 years,$12516,Term Life,No,Single,5,Yes,2024-01-05
Clint Barton,791,Pending,Reviewer_3,2024-04-03,57,Doctor,Term Life,$476514,$46905,22 years,$35097,Whole Life,No,Single,3,No,2024-06-24
Steve Rogers,678,Pending,Reviewer_1,2023-05-17,60,Scientist,Life,$128736,$115637,21 years,$10082,Term Life,No,Single,5,Yes,2024-07-04
Bruce Banner,741,Approved,Reviewer_3,2023-12-28,63,Scientist,Term Life,$529580,$89850,29 years,$27274,Term Life,Yes,Married,1,Yes,2024-05-27
Clint Barton,665,Declined,Reviewer_5,2024-10-17,54,Scientist,Critical Illness,$306425,$119855,22 years,$32474,Term Life,Yes,Single,0,No,2024-03-30
Clint Barton,732,Needs Info,Reviewer_1,2023-05-27,47,Scientist,Term Life,$106417,$146000,15 years,$25320,Whole Life,No,Married,0,No,2024-03-18
Natasha Romanoff,623,Needs Info,Reviewer_4,2024-05-05,24,Scientist,Life,$613027,$65822,25 years,$29263,Term Life,No,Single,3,Yes,2024-03-10
Bruce Banner,680,Approved,Reviewer_1,2024-07-25,35,Doctor,Term Life,$539532,$133838,22 years,$5717,Whole Life,Yes,Married,3,Yes,2024-01-02
Clint Barton,695,Declined,Reviewer_5,2024-02-05,21,Teacher,Critical Illness,$737555,$138756,18 years,$38789,Whole Life,Yes,Married,2,No,2024-10-21
Tony Stark,721,Needs Info,Reviewer_4,2024-10-18,23,CEO,Life,$182214,$71021,15 years,$1740,Term Life,Yes,Single,0,No,2024-01-26
Clint Barton,773,Pending,Reviewer_5,2024-09-19,42,Doctor,Life,$674357,$134093,25 years,$34782,Whole Life,Yes,Married,1,No,2024-07-30
Steve Rogers,711,Declined,Reviewer_1,2023-03-26,55,CEO,Health,$606668,$146493,17 years,$1559,Whole Life,Yes,Single,5,No,2024-08-09
Clint Barton,670,Declined,Reviewer_4,2024-07-19,26,CEO,Life,$703346,$77777,18 years,$30108,Whole Life,Yes,Single,1,Yes,2024-04-22
Bruce Banner,767,Declined,Reviewer_3,2024-11-25,29,Scientist,Term Life,$425507,$92071,25 years,$35223,Whole Life,Yes,Single,1,No,2024-03-02
Tony Stark,729,Pending,Reviewer_3,2024-11-25,65,Scientist,Life,$252849,$67739,14 years,$30280,Whole Life,No,Married,4,Yes,2024-06-09
Tony Stark,631,Declined,Reviewer_3,2023-07-13,61,CEO,Health,$318427,$146417,28 years,$45635,Whole Life,Yes,Single,0,No,2024-03-06
Tony Stark,702,Needs Info,Reviewer_3,2023-08-19,24,Doctor,Health,$330786,$129269,19 years,$26575,Term Life,Yes,Married,5,Yes,2024-01-23
Tony Stark,712,Pending,Reviewer_5,2023-10-19,56,Teacher,Term Life,$777574,$132827,21 years,$8706,Term Life,Yes,Single,3,Yes,2024-12-11
Clint Barton,652,Pending,Reviewer_4,2023-08-25,54,Teacher,Critical Illness,$793201,$47152,18 years,$1003,Whole Life,No,Married,0,Yes,2024-12-01
Clint Barton,679,Pending,Reviewer_3,2024-06-03,38,Teacher,Health,$174600,$104095,10 years,$4360,Term Life,Yes,Married,3,Yes,2024-12-13
Bruce Banner,780,Declined,Reviewer_3,2023-10-02,22,Teacher,Term Life,$571999,$33702,14 years,$11034,Term Life,Yes,Married,3,Yes,2024-06-07
Clint Barton,671,Approved,Reviewer_1,2024-01-28,38,Teacher,Critical Illness,$599009,$84886,29 years,$42330,Term Life,No,Married,5,Yes,2024-05-24
Steve Rogers,668,Needs Info,Reviewer_2,2023-05-24,22,CEO,Term Life,$219824,$55743,30 years,$14233,Term Life,Yes,Single,1,No,2024-02-09
Natasha Romanoff,616,Needs Info,Reviewer_3,2023-12-21,57,Engineer,Term Life,$224247,$116795,19 years,$41447,Whole Life,No,Married,4,No,2024-03-29
Bruce Banner,752,Approved,Reviewer_3,2023-11-23,36,Scientist,Term Life,$185961,$36521,27 years,$10601,Whole Life,Yes,Single,3,No,2024-03-01
Tony Stark,764,Approved,Reviewer_5,2023-03-05,29,Teacher,Health,$153663,$83244,18 years,$27177,Term Life,No,Married,2,No,2024-01-30
Natasha Romanoff,688,Declined,Reviewer_4,2023-09-13,37,Engineer,Critical Illness,$123046,$64573,16 years,$20319,Whole Life,Yes,Single,4,Yes,2024-04-04
Natasha Romanoff,627,Needs Info,Reviewer_3,2024-10-26,50,Scientist,Health,$368243,$70507,27 years,$9516,Whole Life,No,Single,1,Yes,2024-12-25
Steve Rogers,627,Declined,Reviewer_1,2023-09-25,57,Teacher,Term Life,$701194,$53651,16 years,$39511,Whole Life,No,Single,1,No,2024-12-12
Steve Rogers,650,Approved,Reviewer_3,2024-03-11,26,Scientist,Term Life,$912748,$114590,20 years,$4024,Term Life,No,Single,1,Yes,2024-05-02
Clint Barton,666,Needs Info,Reviewer_5,2024-05-09,62,Doctor,Term Life,$249713,$121150,10 years,$47272,Whole Life,Yes,Married,5,Yes,2024-04-05
Steve Rogers,606,Pending,Reviewer_5,2023-11-08,49,Teacher,Critical Illness,$158999,$124568,28 years,$11855,Term Life,No,Single,5,No,2024-11-04
Steve Rogers,679,Pending,Reviewer_2,2024-01-12,23,Doctor,Health,$245294,$99934,11 years,$28799,Term Life,Yes,Married,0,Yes,2024-11-22
Tony Stark,763,Needs Info,Reviewer_1,2023-07-14,42,Teacher,Term Life,$894637,$68579,23 years,$31267,Term Life,No,Single,3,No,2024-04-22
Steve Rogers,661,Declined,Reviewer_4,2023-05-16,64,Doctor,Life,$641525,$42680,12 years,$21253,Whole Life,Yes,Single,2,Yes,2024-09-15
Tony Stark,724,Needs Info,Reviewer_4,2023-01-04,51,Engineer,Term Life,$381941,$44302,24 years,$30683,Whole Life,Yes,Single,4,Yes,2024-07-23
Bruce Banner,758,Approved,Reviewer_1,2023-10-02,44,CEO,Health,$924539,$48656,21 years,$46969,Term Life,No,Single,2,No,2024-12-14
Tony Stark,615,Needs Info,Reviewer_4,2023-11-30,64,Scientist,Critical Illness,$608740,$86229,21 years,$6885,Whole Life,No,Single,0,No,2024-01-25
Tony Stark,769,Pending,Reviewer_4,2024-08-05,57,Engineer,Health,$221176,$64700,14 years,$19517,Term Life,No,Married,4,No,2024-05-27
Steve Rogers,656,Approved,Reviewer_5,2024-08-31,39,Teacher,Term Life,$642993,$47329,26 years,$18822,Whole Life,Yes,Single,2,Yes,2024-03-29
