applicationId,name,coverageType,underwritingStatus,riskAssessment,underwriterName,medicalUnderwritingStatus,finalPremium,policyApprovalStatus,medicalExamsRequired,riskAdjustment
A98044,Tony Stark,Life,Pending,Medium,Underwriter_5,Completed,$24819,Pending,Yes,Standard premium
A94143,Clint Barton,Critical Illness,Approved,Low,Underwriter_2,Pending,$43031,Approved,Yes,Standard premium
A69018,Bruce Banner,Term Life,Pending,High,Underwriter_2,Pending,$39662,Rejected,No,Increased premium due to high risk
A43586,Bruce Banner,Term Life,Approved,Medium,Underwriter_1,Completed,$49082,Pending,No,Increased premium due to high risk
A40774,Tony Stark,Term Life,Pending,Medium,Underwriter_1,Not Required,$42640,Rejected,No,Increased premium due to high risk
A11955,Steve Rogers,Term Life,Declined,High,Underwriter_3,Not Required,$23023,Approved,No,Increased premium due to high risk
A15627,Tony Stark,Critical Illness,Pending,High,Underwriter_5,Completed,$31975,Approved,Yes,Increased premium due to high risk
A78012,Natasha Romanoff,Critical Illness,Declined,Medium,Underwriter_3,Not Required,$39074,Pending,No,Standard premium
A62794,Tony Stark,Health,Declined,Low,Underwriter_4,Completed,$35972,Pending,Yes,Increased premium due to high risk
A73180,Steve Rogers,Critical Illness,Approved,Low,Underwriter_3,Pending,$7371,Approved,No,Increased premium due to high risk
A53388,Tony Stark,Critical Illness,Declined,High,Underwriter_3,Completed,$30677,Approved,Yes,Increased premium due to high risk
A36393,Clint Barton,Life,Approved,Medium,Underwriter_3,Not Required,$10904,Rejected,No,Standard premium
A22235,Natasha Romanoff,Critical Illness,Pending,Low,Underwriter_3,Pending,$10156,Rejected,Yes,Increased premium due to high risk
A13956,Bruce Banner,Life,Pending,High,Underwriter_5,Completed,$38962,Rejected,No,Standard premium
A98839,Steve Rogers,Critical Illness,Approved,High,Underwriter_1,Pending,$45620,Approved,Yes,Increased premium due to high risk
A27137,Natasha Romanoff,Term Life,Pending,Low,Underwriter_1,Completed,$11718,Pending,No,Increased premium due to high risk
A10308,Tony Stark,Life,Approved,Low,Underwriter_3,Not Required,$18321,Pending,No,Standard premium
A14465,Tony Stark,Health,Pending,High,Underwriter_4,Completed,$22120,Pending,No,Increased premium due to high risk
A96453,Bruce Banner,Critical Illness,Pending,High,Underwriter_5,Not Required,$27527,Pending,Yes,Increased premium due to high risk
A58620,Steve Rogers,Life,Declined,High,Underwriter_1,Completed,$42305,Rejected,Yes,Increased premium due to high risk
A72074,Steve Rogers,Term Life,Approved,High,Underwriter_4,Pending,$39294,Rejected,Yes,Standard premium
A93520,Tony Stark,Health,Approved,Low,Underwriter_4,Not Required,$6954,Pending,No,Increased premium due to high risk
A72413,Steve Rogers,Critical Illness,Pending,Low,Underwriter_3,Not Required,$21751,Approved,Yes,Standard premium
A13416,Clint Barton,Life,Pending,Medium,Underwriter_4,Not Required,$25303,Rejected,No,Increased premium due to high risk
A63814,Natasha Romanoff,Term Life,Approved,Medium,Underwriter_5,Completed,$33167,Pending,Yes,Increased premium due to high risk
A52429,Natasha Romanoff,Critical Illness,Declined,Medium,Underwriter_4,Pending,$29585,Approved,No,Increased premium due to high risk
A30781,Natasha Romanoff,Critical Illness,Pending,High,Underwriter_4,Not Required,$24274,Pending,No,Standard premium
A99030,Clint Barton,Term Life,Declined,High,Underwriter_1,Completed,$17923,Approved,No,Standard premium
A61559,Tony Stark,Critical Illness,Approved,Medium,Underwriter_2,Completed,$21907,Pending,No,Increased premium due to high risk
A70164,Clint Barton,Life,Pending,Medium,Underwriter_2,Not Required,$47548,Pending,Yes,Increased premium due to high risk
A55244,Bruce Banner,Life,Approved,Low,Underwriter_4,Not Required,$19214,Approved,No,Increased premium due to high risk
A44476,Tony Stark,Critical Illness,Approved,High,Underwriter_2,Not Required,$21895,Approved,No,Standard premium
A35394,Tony Stark,Health,Approved,Medium,Underwriter_1,Pending,$8000,Rejected,Yes,Standard premium
A84622,Steve Rogers,Health,Approved,Medium,Underwriter_5,Not Required,$9086,Approved,No,Standard premium
A90454,Clint Barton,Term Life,Approved,High,Underwriter_4,Pending,$34108,Approved,No,Increased premium due to high risk
A47053,Bruce Banner,Critical Illness,Pending,Low,Underwriter_3,Not Required,$46061,Approved,No,Increased premium due to high risk
A75342,Bruce Banner,Term Life,Pending,High,Underwriter_3,Pending,$34149,Approved,Yes,Increased premium due to high risk
A62649,Natasha Romanoff,Term Life,Pending,Low,Underwriter_5,Completed,$16924,Pending,Yes,Increased premium due to high risk
A79118,Clint Barton,Health,Approved,High,Underwriter_4,Pending,$22563,Approved,Yes,Standard premium
A84976,Natasha Romanoff,Life,Declined,Low,Underwriter_2,Not Required,$20219,Approved,Yes,Increased premium due to high risk
A69395,Clint Barton,Life,Pending,Low,Underwriter_2,Not Required,$16208,Rejected,No,Increased premium due to high risk
A68727,Clint Barton,Term Life,Declined,Medium,Underwriter_4,Not Required,$38797,Rejected,No,Increased premium due to high risk
A43068,Steve Rogers,Term Life,Pending,Medium,Underwriter_4,Completed,$49419,Approved,No,Standard premium
A24091,Natasha Romanoff,Life,Pending,Medium,Underwriter_4,Not Required,$36414,Rejected,No,Standard premium
A50460,Natasha Romanoff,Critical Illness,Declined,High,Underwriter_3,Not Required,$16912,Pending,Yes,Standard premium
A98329,Steve Rogers,Critical Illness,Declined,Medium,Underwriter_4,Pending,$20325,Rejected,No,Standard premium
A61681,Steve Rogers,Health,Approved,Medium,Underwriter_2,Completed,$28419,Rejected,No,Increased premium due to high risk
A91064,Natasha Romanoff,Life,Declined,Medium,Underwriter_4,Pending,$27835,Pending,No,Standard premium
A68872,Steve Rogers,Term Life,Approved,High,Underwriter_3,Not Required,$6672,Approved,Yes,Standard premium
A23213,Tony Stark,Life,Pending,Low,Underwriter_3,Not Required,$33975,Approved,Yes,Increased premium due to high risk
A99158,Steve Rogers,Critical Illness,Declined,High,Underwriter_3,Completed,$42969,Pending,No,Increased premium due to high risk
A21542,Natasha Romanoff,Health,Pending,Medium,Underwriter_2,Pending,$39434,Pending,Yes,Standard premium
A85886,Tony Stark,Term Life,Approved,Low,Underwriter_5,Not Required,$32275,Approved,Yes,Increased premium due to high risk
A33226,Steve Rogers,Term Life,Declined,Medium,Underwriter_5,Pending,$11519,Approved,Yes,Increased premium due to high risk
A43790,Bruce Banner,Term Life,Approved,Low,Underwriter_1,Not Required,$24571,Approved,Yes,Standard premium
A25414,Bruce Banner,Critical Illness,Declined,Low,Underwriter_4,Not Required,$30303,Pending,Yes,Increased premium due to high risk
A61185,Steve Rogers,Life,Declined,High,Underwriter_5,Pending,$28053,Pending,No,Standard premium
A81594,Natasha Romanoff,Life,Pending,Medium,Underwriter_5,Not Required,$26804,Pending,Yes,Increased premium due to high risk
A75018,Bruce Banner,Term Life,Approved,Low,Underwriter_1,Pending,$31105,Rejected,No,Increased premium due to high risk
A48754,Bruce Banner,Health,Declined,High,Underwriter_2,Not Required,$33248,Approved,No,Increased premium due to high risk
A69406,Clint Barton,Critical Illness,Approved,High,Underwriter_5,Completed,$17888,Rejected,No,Standard premium
A13526,Bruce Banner,Life,Pending,High,Underwriter_2,Pending,$36317,Rejected,No,Increased premium due to high risk
A34392,Natasha Romanoff,Critical Illness,Pending,High,Underwriter_1,Not Required,$5635,Rejected,No,Standard premium
A32871,Clint Barton,Life,Pending,Low,Underwriter_3,Pending,$37395,Rejected,No,Standard premium
A28188,Bruce Banner,Life,Declined,Medium,Underwriter_5,Completed,$5934,Pending,Yes,Standard premium
A71477,Natasha Romanoff,Critical Illness,Declined,High,Underwriter_4,Pending,$30022,Pending,Yes,Increased premium due to high risk
A16730,Tony Stark,Term Life,Declined,High,Underwriter_2,Pending,$25971,Pending,Yes,Standard premium
A36346,Clint Barton,Term Life,Pending,High,Underwriter_5,Completed,$9482,Approved,No,Standard premium
A64977,Clint Barton,Term Life,Pending,High,Underwriter_2,Pending,$42582,Pending,Yes,Standard premium
A42294,Natasha Romanoff,Term Life,Declined,High,Underwriter_4,Completed,$23714,Pending,No,Increased premium due to high risk
A19978,Natasha Romanoff,Life,Declined,High,Underwriter_2,Completed,$29531,Rejected,No,Standard premium
A84642,Bruce Banner,Health,Approved,High,Underwriter_4,Pending,$12834,Approved,Yes,Standard premium
A36854,Clint Barton,Critical Illness,Declined,High,Underwriter_5,Completed,$32255,Approved,Yes,Increased premium due to high risk
A70552,Steve Rogers,Health,Approved,Medium,Underwriter_5,Not Required,$23128,Pending,Yes,Increased premium due to high risk
A82222,Natasha Romanoff,Critical Illness,Approved,Low,Underwriter_1,Pending,$44054,Rejected,Yes,Increased premium due to high risk
A31065,Tony Stark,Life,Approved,Low,Underwriter_1,Completed,$36891,Rejected,Yes,Standard premium
A16700,Clint Barton,Term Life,Declined,High,Underwriter_5,Not Required,$18327,Pending,No,Standard premium
A13122,Natasha Romanoff,Term Life,Declined,Medium,Underwriter_5,Pending,$11115,Rejected,No,Increased premium due to high risk
A44496,Bruce Banner,Term Life,Pending,Medium,Underwriter_1,Pending,$30462,Pending,Yes,Increased premium due to high risk
A81242,Natasha Romanoff,Life,Declined,Medium,Underwriter_1,Pending,$11651,Approved,No,Standard premium
A59723,Clint Barton,Life,Pending,Low,Underwriter_4,Pending,$7125,Rejected,Yes,Standard premium
A93699,Tony Stark,Term Life,Declined,Low,Underwriter_4,Not Required,$20370,Rejected,No,Standard premium
A80178,Steve Rogers,Critical Illness,Declined,High,Underwriter_2,Not Required,$13519,Approved,No,Increased premium due to high risk
A21013,Clint Barton,Health,Declined,High,Underwriter_4,Pending,$17459,Approved,No,Standard premium
A70411,Tony Stark,Term Life,Declined,High,Underwriter_1,Completed,$23389,Rejected,Yes,Standard premium
A53090,Tony Stark,Critical Illness,Declined,Low,Underwriter_5,Not Required,$43746,Pending,No,Standard premium
A17258,Clint Barton,Critical Illness,Approved,Low,Underwriter_5,Completed,$24876,Approved,Yes,Increased premium due to high risk
A98316,Steve Rogers,Critical Illness,Approved,Medium,Underwriter_5,Pending,$23206,Pending,Yes,Standard premium
A44031,Tony Stark,Life,Pending,High,Underwriter_5,Completed,$10200,Approved,Yes,Increased premium due to high risk
A81631,Bruce Banner,Term Life,Declined,Medium,Underwriter_2,Pending,$49686,Approved,No,Standard premium
A63698,Bruce Banner,Life,Pending,High,Underwriter_2,Completed,$25646,Pending,No,Increased premium due to high risk
A51750,Steve Rogers,Critical Illness,Declined,High,Underwriter_2,Pending,$27476,Rejected,No,Standard premium
A76449,Clint Barton,Health,Approved,High,Underwriter_1,Completed,$33305,Pending,Yes,Increased premium due to high risk
A71879,Steve Rogers,Health,Declined,Medium,Underwriter_3,Not Required,$12290,Approved,Yes,Increased premium due to high risk
A11115,Bruce Banner,Health,Approved,High,Underwriter_1,Not Required,$25010,Pending,Yes,Increased premium due to high risk
A46520,Steve Rogers,Life,Declined,Low,Underwriter_4,Not Required,$15714,Rejected,Yes,Increased premium due to high risk
A48673,Natasha Romanoff,Health,Pending,Medium,Underwriter_3,Completed,$11901,Approved,No,Increased premium due to high risk
A50815,Natasha Romanoff,Health,Pending,Low,Underwriter_1,Pending,$37735,Approved,Yes,Standard premium
A98793,Bruce Banner,Life,Approved,High,Underwriter_3,Pending,$25385,Rejected,Yes,Standard premium
A97544,Tony Stark,Life,Approved,High,Underwriter_2,Completed,$26017,Approved,No,Standard premium
A27167,Natasha Romanoff,Critical Illness,Approved,High,Underwriter_1,Completed,$27276,Approved,Yes,Increased premium due to high risk
A17100,Clint Barton,Life,Approved,High,Underwriter_5,Pending,$11861,Pending,No,Increased premium due to high risk
A40968,Bruce Banner,Health,Approved,Medium,Underwriter_2,Not Required,$24426,Rejected,Yes,Increased premium due to high risk
A56225,Clint Barton,Life,Approved,Medium,Underwriter_3,Pending,$16871,Rejected,Yes,Standard premium
A43086,Steve Rogers,Critical Illness,Declined,High,Underwriter_3,Pending,$16508,Pending,No,Standard premium
A64514,Clint Barton,Life,Approved,High,Underwriter_4,Not Required,$34059,Rejected,No,Increased premium due to high risk
A13171,Tony Stark,Critical Illness,Approved,High,Underwriter_5,Completed,$43458,Rejected,Yes,Standard premium
A45032,Tony Stark,Health,Approved,Low,Underwriter_2,Pending,$17935,Pending,Yes,Standard premium
A19803,Natasha Romanoff,Critical Illness,Approved,Low,Underwriter_1,Completed,$28674,Approved,No,Standard premium
A15248,Tony Stark,Term Life,Pending,High,Underwriter_2,Not Required,$18137,Pending,Yes,Increased premium due to high risk
A50541,Bruce Banner,Life,Pending,Medium,Underwriter_5,Pending,$28419,Approved,Yes,Increased premium due to high risk
A80309,Steve Rogers,Health,Approved,High,Underwriter_3,Not Required,$26140,Approved,No,Increased premium due to high risk
A18973,Steve Rogers,Critical Illness,Approved,Low,Underwriter_1,Completed,$43345,Rejected,No,Increased premium due to high risk
A71050,Steve Rogers,Life,Approved,Medium,Underwriter_4,Completed,$35324,Pending,Yes,Increased premium due to high risk
A25145,Clint Barton,Term Life,Approved,High,Underwriter_2,Not Required,$6101,Rejected,Yes,Standard premium
A34607,Natasha Romanoff,Health,Approved,Medium,Underwriter_3,Not Required,$35661,Approved,No,Increased premium due to high risk
A49313,Bruce Banner,Health,Declined,Low,Underwriter_2,Pending,$45144,Rejected,Yes,Standard premium
A25535,Bruce Banner,Critical Illness,Approved,Low,Underwriter_2,Pending,$34755,Pending,No,Increased premium due to high risk
A71385,Steve Rogers,Health,Approved,High,Underwriter_2,Not Required,$11023,Pending,Yes,Standard premium
A56890,Steve Rogers,Term Life,Pending,Medium,Underwriter_5,Completed,$24308,Approved,No,Increased premium due to high risk
A60818,Natasha Romanoff,Health,Approved,Low,Underwriter_4,Pending,$24178,Pending,Yes,Standard premium
A85728,Natasha Romanoff,Life,Pending,High,Underwriter_4,Not Required,$22255,Approved,No,Increased premium due to high risk
A72882,Tony Stark,Health,Approved,Low,Underwriter_1,Pending,$24521,Rejected,Yes,Increased premium due to high risk
A66074,Tony Stark,Life,Declined,Medium,Underwriter_5,Pending,$32165,Approved,Yes,Standard premium
A70808,Tony Stark,Health,Approved,High,Underwriter_4,Pending,$34434,Rejected,Yes,Standard premium
A11784,Steve Rogers,Critical Illness,Declined,Medium,Underwriter_4,Pending,$40357,Rejected,Yes,Increased premium due to high risk
A74550,Natasha Romanoff,Life,Declined,Medium,Underwriter_3,Pending,$48774,Pending,No,Increased premium due to high risk
A19569,Tony Stark,Health,Declined,Low,Underwriter_2,Completed,$21517,Rejected,No,Standard premium
A76759,Steve Rogers,Term Life,Declined,High,Underwriter_2,Completed,$44872,Pending,No,Increased premium due to high risk
A86682,Clint Barton,Health,Approved,Medium,Underwriter_1,Not Required,$20262,Pending,Yes,Increased premium due to high risk
A36761,Tony Stark,Term Life,Approved,High,Underwriter_2,Pending,$43151,Rejected,Yes,Standard premium
A93110,Tony Stark,Health,Approved,Medium,Underwriter_1,Pending,$28485,Rejected,No,Standard premium
A57604,Clint Barton,Life,Approved,Medium,Underwriter_1,Pending,$8279,Pending,No,Standard premium
A41984,Natasha Romanoff,Term Life,Pending,High,Underwriter_3,Pending,$11655,Rejected,Yes,Standard premium
A31136,Natasha Romanoff,Critical Illness,Pending,Medium,Underwriter_1,Not Required,$45916,Approved,No,Standard premium
A55914,Clint Barton,Life,Approved,Medium,Underwriter_1,Pending,$10513,Rejected,Yes,Increased premium due to high risk
A38719,Tony Stark,Health,Pending,High,Underwriter_1,Not Required,$41130,Pending,Yes,Standard premium
A76662,Steve Rogers,Term Life,Approved,High,Underwriter_2,Completed,$40615,Approved,No,Increased premium due to high risk
A71148,Natasha Romanoff,Health,Declined,Medium,Underwriter_5,Not Required,$46866,Pending,No,Increased premium due to high risk
A97215,Bruce Banner,Life,Pending,Medium,Underwriter_3,Pending,$5897,Rejected,No,Standard premium
A74775,Bruce Banner,Critical Illness,Approved,Medium,Underwriter_2,Completed,$12957,Rejected,No,Standard premium
A86655,Bruce Banner,Term Life,Approved,High,Underwriter_4,Completed,$17140,Approved,No,Standard premium
A49603,Bruce Banner,Term Life,Declined,High,Underwriter_2,Not Required,$15732,Rejected,No,Standard premium
A56092,Natasha Romanoff,Health,Declined,Medium,Underwriter_4,Pending,$37787,Approved,No,Standard premium
A11117,Steve Rogers,Critical Illness,Approved,Medium,Underwriter_2,Not Required,$41268,Pending,No,Standard premium
A99528,Steve Rogers,Critical Illness,Pending,Low,Underwriter_3,Pending,$21973,Pending,Yes,Standard premium
A58016,Natasha Romanoff,Critical Illness,Approved,Medium,Underwriter_2,Not Required,$22006,Approved,Yes,Standard premium
A27161,Clint Barton,Health,Pending,Medium,Underwriter_3,Completed,$21380,Approved,Yes,Standard premium
A58885,Natasha Romanoff,Life,Pending,Medium,Underwriter_5,Not Required,$22211,Approved,Yes,Standard premium
A57518,Steve Rogers,Health,Declined,Medium,Underwriter_4,Not Required,$28374,Approved,No,Increased premium due to high risk
A26082,Tony Stark,Critical Illness,Approved,Medium,Underwriter_4,Completed,$14926,Pending,Yes,Increased premium due to high risk
A77180,Bruce Banner,Life,Approved,High,Underwriter_4,Not Required,$32971,Approved,No,Increased premium due to high risk
A60510,Bruce Banner,Health,Approved,High,Underwriter_2,Completed,$47520,Pending,Yes,Increased premium due to high risk
A63091,Bruce Banner,Critical Illness,Approved,Medium,Underwriter_5,Pending,$9411,Rejected,No,Increased premium due to high risk
A93612,Natasha Romanoff,Term Life,Approved,Medium,Underwriter_4,Not Required,$22910,Pending,Yes,Standard premium
A42115,Clint Barton,Life,Declined,Low,Underwriter_4,Pending,$46175,Rejected,No,Increased premium due to high risk
A10624,Bruce Banner,Life,Approved,Low,Underwriter_2,Pending,$5972,Pending,Yes,Standard premium
A56038,Steve Rogers,Critical Illness,Pending,Medium,Underwriter_3,Completed,$44821,Approved,No,Increased premium due to high risk
A70716,Steve Rogers,Critical Illness,Approved,Medium,Underwriter_5,Completed,$31961,Pending,No,Standard premium
A81021,Steve Rogers,Critical Illness,Pending,Low,Underwriter_5,Not Required,$32256,Approved,No,Standard premium
A85422,Steve Rogers,Life,Declined,Medium,Underwriter_1,Pending,$23272,Approved,Yes,Standard premium
A18454,Bruce Banner,Critical Illness,Declined,Low,Underwriter_4,Not Required,$17924,Pending,No,Standard premium
A51411,Clint Barton,Life,Approved,Low,Underwriter_3,Not Required,$6479,Pending,No,Increased premium due to high risk
A97940,Tony Stark,Health,Pending,Low,Underwriter_1,Not Required,$27170,Approved,Yes,Increased premium due to high risk
A94352,Steve Rogers,Health,Approved,High,Underwriter_5,Pending,$49156,Pending,No,Increased premium due to high risk
A92085,Natasha Romanoff,Health,Declined,High,Underwriter_1,Not Required,$43318,Pending,No,Increased premium due to high risk
A86062,Clint Barton,Health,Declined,Low,Underwriter_5,Completed,$21639,Rejected,Yes,Standard premium
A96368,Clint Barton,Life,Pending,Medium,Underwriter_1,Completed,$33782,Rejected,Yes,Standard premium
A32691,Natasha Romanoff,Life,Declined,Medium,Underwriter_1,Completed,$16177,Pending,Yes,Increased premium due to high risk
A42036,Natasha Romanoff,Health,Declined,Medium,Underwriter_3,Not Required,$10934,Pending,No,Standard premium
A12023,Steve Rogers,Health,Declined,Low,Underwriter_3,Completed,$32335,Pending,Yes,Standard premium
A14651,Clint Barton,Health,Pending,Low,Underwriter_2,Completed,$17984,Rejected,Yes,Standard premium
A87792,Steve Rogers,Critical Illness,Pending,Low,Underwriter_2,Completed,$33455,Pending,Yes,Standard premium
A83496,Natasha Romanoff,Health,Pending,Low,Underwriter_4,Pending,$13200,Approved,No,Standard premium
A52752,Steve Rogers,Life,Pending,Medium,Underwriter_4,Completed,$44946,Rejected,Yes,Standard premium
A51776,Clint Barton,Term Life,Declined,High,Underwriter_1,Pending,$15514,Approved,No,Increased premium due to high risk
A37430,Natasha Romanoff,Critical Illness,Declined,Medium,Underwriter_4,Pending,$48180,Rejected,Yes,Increased premium due to high risk
A21391,Steve Rogers,Term Life,Declined,Low,Underwriter_5,Completed,$13792,Approved,No,Standard premium
A59958,Steve Rogers,Term Life,Approved,High,Underwriter_1,Pending,$14489,Rejected,No,Standard premium
A45447,Natasha Romanoff,Critical Illness,Declined,Medium,Underwriter_1,Not Required,$19290,Pending,No,Standard premium
A43440,Natasha Romanoff,Critical Illness,Pending,Medium,Underwriter_2,Not Required,$43401,Approved,Yes,Increased premium due to high risk
A45752,Natasha Romanoff,Critical Illness,Approved,High,Underwriter_5,Pending,$18470,Rejected,No,Standard premium
A20319,Bruce Banner,Life,Declined,Medium,Underwriter_1,Pending,$44900,Rejected,No,Increased premium due to high risk
A38774,Steve Rogers,Critical Illness,Approved,Medium,Underwriter_1,Pending,$46763,Pending,Yes,Increased premium due to high risk
A32330,Natasha Romanoff,Critical Illness,Declined,Medium,Underwriter_2,Pending,$16519,Pending,Yes,Standard premium
A27045,Clint Barton,Health,Approved,Medium,Underwriter_5,Completed,$20610,Approved,No,Increased premium due to high risk
A41550,Natasha Romanoff,Health,Pending,Low,Underwriter_5,Completed,$22705,Pending,Yes,Increased premium due to high risk
A96823,Natasha Romanoff,Critical Illness,Pending,Low,Underwriter_5,Not Required,$29389,Pending,No,Increased premium due to high risk
A76471,Steve Rogers,Health,Declined,High,Underwriter_1,Pending,$23180,Pending,Yes,Standard premium
A75781,Steve Rogers,Life,Approved,Medium,Underwriter_2,Not Required,$13312,Approved,Yes,Increased premium due to high risk
A89639,Clint Barton,Term Life,Approved,High,Underwriter_5,Pending,$23014,Rejected,No,Increased premium due to high risk
A71437,Steve Rogers,Term Life,Approved,Low,Underwriter_4,Not Required,$12460,Approved,No,Standard premium
A98334,Clint Barton,Critical Illness,Pending,Low,Underwriter_5,Completed,$37340,Rejected,No,Standard premium
A99209,Steve Rogers,Life,Approved,Low,Underwriter_5,Completed,$12569,Approved,No,Increased premium due to high risk
A45507,Bruce Banner,Health,Approved,Medium,Underwriter_1,Completed,$49298,Approved,No,Standard premium
A68878,Clint Barton,Term Life,Pending,High,Underwriter_5,Not Required,$14408,Pending,Yes,Standard premium
A10178,Bruce Banner,Critical Illness,Approved,Low,Underwriter_4,Not Required,$49900,Rejected,No,Increased premium due to high risk
A20306,Bruce Banner,Term Life,Approved,Low,Underwriter_1,Not Required,$16436,Pending,No,Standard premium
A52059,Tony Stark,Health,Pending,Low,Underwriter_3,Pending,$38711,Rejected,No,Increased premium due to high risk
A22160,Tony Stark,Health,Declined,Medium,Underwriter_5,Not Required,$49489,Approved,Yes,Standard premium
A25301,Steve Rogers,Term Life,Declined,Low,Underwriter_1,Not Required,$15034,Pending,No,Increased premium due to high risk
A76604,Natasha Romanoff,Term Life,Declined,Medium,Underwriter_4,Completed,$29355,Approved,No,Standard premium
A29828,Steve Rogers,Critical Illness,Pending,High,Underwriter_1,Completed,$45611,Rejected,Yes,Standard premium
A71853,Steve Rogers,Life,Declined,High,Underwriter_5,Completed,$23226,Pending,Yes,Standard premium
A57720,Tony Stark,Term Life,Declined,Medium,Underwriter_2,Pending,$10037,Approved,Yes,Standard premium
A82222,Steve Rogers,Life,Pending,High,Underwriter_1,Pending,$35986,Pending,No,Standard premium
A34947,Tony Stark,Term Life,Approved,Low,Underwriter_3,Not Required,$14621,Approved,No,Increased premium due to high risk
A20641,Steve Rogers,Life,Pending,High,Underwriter_2,Not Required,$20125,Pending,Yes,Increased premium due to high risk
A32329,Bruce Banner,Health,Pending,Medium,Underwriter_5,Not Required,$23840,Approved,No,Standard premium
A62423,Natasha Romanoff,Term Life,Declined,Medium,Underwriter_4,Not Required,$38519,Approved,No,Increased premium due to high risk
A37923,Steve Rogers,Health,Pending,Medium,Underwriter_1,Not Required,$22486,Approved,Yes,Increased premium due to high risk
A98498,Steve Rogers,Life,Pending,Low,Underwriter_3,Not Required,$48098,Approved,Yes,Standard premium
A17033,Bruce Banner,Health,Pending,High,Underwriter_2,Not Required,$26975,Rejected,Yes,Increased premium due to high risk
A10811,Clint Barton,Life,Pending,Medium,Underwriter_5,Pending,$43456,Rejected,No,Increased premium due to high risk
A33534,Tony Stark,Critical Illness,Approved,High,Underwriter_3,Pending,$8632,Approved,No,Increased premium due to high risk
A47286,Bruce Banner,Health,Approved,Medium,Underwriter_3,Not Required,$46704,Rejected,Yes,Standard premium
A89989,Bruce Banner,Life,Pending,Low,Underwriter_3,Pending,$14331,Rejected,Yes,Standard premium
A82512,Steve Rogers,Life,Approved,Medium,Underwriter_5,Pending,$19652,Rejected,Yes,Increased premium due to high risk
A17416,Steve Rogers,Term Life,Pending,Low,Underwriter_3,Completed,$10478,Rejected,Yes,Increased premium due to high risk
A13481,Steve Rogers,Life,Declined,Low,Underwriter_4,Completed,$22628,Rejected,Yes,Standard premium
A84785,Clint Barton,Health,Pending,High,Underwriter_1,Pending,$26385,Rejected,No,Increased premium due to high risk
A51661,Tony Stark,Life,Approved,Low,Underwriter_5,Completed,$32215,Pending,Yes,Standard premium
A77302,Tony Stark,Health,Pending,High,Underwriter_3,Completed,$6399,Rejected,Yes,Increased premium due to high risk
A36057,Bruce Banner,Term Life,Approved,Medium,Underwriter_1,Completed,$33706,Pending,No,Standard premium
A93944,Steve Rogers,Health,Approved,Low,Underwriter_3,Pending,$16286,Approved,Yes,Increased premium due to high risk
A66795,Clint Barton,Health,Declined,Medium,Underwriter_4,Not Required,$21246,Rejected,Yes,Standard premium
A84489,Natasha Romanoff,Life,Declined,High,Underwriter_4,Not Required,$24689,Approved,No,Standard premium
A28177,Steve Rogers,Term Life,Pending,High,Underwriter_2,Completed,$31245,Rejected,No,Increased premium due to high risk
A79877,Natasha Romanoff,Term Life,Approved,Medium,Underwriter_2,Pending,$15552,Approved,No,Standard premium
A77431,Natasha Romanoff,Term Life,Declined,High,Underwriter_3,Completed,$14438,Rejected,No,Increased premium due to high risk
A52941,Steve Rogers,Term Life,Pending,Medium,Underwriter_2,Not Required,$32344,Rejected,Yes,Increased premium due to high risk
A85641,Natasha Romanoff,Health,Approved,High,Underwriter_1,Pending,$49347,Approved,Yes,Increased premium due to high risk
A12530,Bruce Banner,Term Life,Approved,Medium,Underwriter_5,Completed,$45849,Rejected,No,Increased premium due to high risk
A57366,Steve Rogers,Life,Approved,Low,Underwriter_1,Not Required,$26640,Rejected,No,Increased premium due to high risk
A87966,Bruce Banner,Term Life,Declined,Medium,Underwriter_1,Not Required,$44196,Rejected,Yes,Increased premium due to high risk
A40131,Tony Stark,Critical Illness,Pending,Low,Underwriter_4,Completed,$23943,Pending,Yes,Increased premium due to high risk
A30967,Tony Stark,Critical Illness,Declined,Medium,Underwriter_1,Completed,$41092,Approved,Yes,Increased premium due to high risk
A89847,Clint Barton,Life,Pending,Medium,Underwriter_4,Pending,$37768,Approved,No,Increased premium due to high risk
A24251,Steve Rogers,Term Life,Approved,Medium,Underwriter_4,Completed,$21792,Pending,Yes,Standard premium
A36605,Tony Stark,Health,Approved,Low,Underwriter_2,Not Required,$28233,Approved,Yes,Increased premium due to high risk
A93024,Natasha Romanoff,Health,Pending,High,Underwriter_5,Pending,$34551,Rejected,No,Increased premium due to high risk
A79730,Clint Barton,Health,Declined,Medium,Underwriter_3,Completed,$12507,Rejected,Yes,Standard premium
A51456,Steve Rogers,Life,Declined,Low,Underwriter_4,Not Required,$28447,Approved,No,Increased premium due to high risk
A16465,Natasha Romanoff,Critical Illness,Pending,High,Underwriter_3,Pending,$48738,Pending,Yes,Increased premium due to high risk
A27140,Tony Stark,Term Life,Declined,Low,Underwriter_2,Not Required,$42635,Rejected,No,Standard premium
A12649,Clint Barton,Critical Illness,Declined,Medium,Underwriter_2,Not Required,$17210,Rejected,Yes,Standard premium
A46294,Steve Rogers,Health,Declined,Medium,Underwriter_1,Pending,$17610,Pending,No,Standard premium
A85768,Natasha Romanoff,Critical Illness,Pending,High,Underwriter_3,Completed,$30381,Pending,Yes,Standard premium
A40739,Natasha Romanoff,Health,Approved,High,Underwriter_4,Pending,$23066,Approved,No,Increased premium due to high risk
